step,GS_21441737_queue,GS_21441737_wait_time,GS_25954547_queue,GS_25954547_wait_time,GS_26752062_queue,GS_26752062_wait_time,GS_26753059_queue,GS_26753059_wait_time,GS_659394041_queue,GS_659394041_wait_time,cluster_262476527_26871569_311718989_3836987635_#3more_queue,cluster_262476527_26871569_311718989_3836987635_#3more_wait_time
217,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,41.0
218,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,43.0
219,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
220,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
221,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
222,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
223,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
224,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
225,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
226,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
227,1,8.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0
228,1,9.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0
229,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0
230,1,11.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.0
231,1,12.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0
232,1,13.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.0
233,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,12.0
234,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,14.0
235,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.0
236,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,18.0
237,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,21.0
238,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,24.0
239,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.0
240,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,15.0
241,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,17.0
242,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,19.0
